time,turbidity,pH
2020-11-04 11:00:31.822439+00:00,21.06343492,7.34
2020-11-04 11:01:22.124333+00:00,20.8681534,7.33
2020-11-04 11:01:51.663062+00:00,20.58455327,7.32
2020-11-04 11:02:29.373718+00:00,21.18532803,7.33
2020-11-04 11:03:45.517010+00:00,21.06343492,7.32
2020-11-04 11:05:01.621475+00:00,20.8681534,7.33
2020-11-04 11:06:29.595873+00:00,21.06343492,7.35
2020-11-04 11:12:56.831732+00:00,21.30058548,7.3
2020-11-04 11:15:04.361718+00:00,21.24378621,7.31
2020-11-04 11:16:20.475486+00:00,21.24378621,7.3
2020-11-04 11:20:08.823669+00:00,21.18532803,7.34
2020-11-04 11:21:25.498204+00:00,21.12521093,7.33
2020-11-04 11:25:13.837605+00:00,21.18532803,7.39
2020-11-04 11:46:47.357143+00:00,21.24544513,7.3
2020-11-04 14:41:16.256627+00:00,20.73466229,7.35
2020-11-04 14:54:52.812699+00:00,20.85615918,7.35
2020-11-04 14:55:35.067125+00:00,17.97599715,7.34
2020-11-04 14:58:09.064267+00:00,20.61150649,7.35
2020-11-04 15:02:56.050510+00:00,19.73466229,7.35
2020-11-04 15:03:42.528682+00:00,19.85615918,7.35
2020-11-04 16:04:14.638100+00:00,17.73466229,7.35
2020-11-04 16:34:30.700178+00:00,18.61150649,7.35
2020-11-04 17:35:02.776336+00:00,18.73466229,7.35
2020-11-04 18:05:18.855249+00:00,17.85615918,7.35
2020-11-04 18:35:34.895319+00:00,17.85615918,7.39
2020-11-04 19:05:50.942985+00:00,17.85615918,7.35
2020-11-04 19:36:06.976006+00:00,18.61150649,7.35
2020-11-04 20:06:23.016062+00:00,19.73466229,7.35
2020-11-04 20:36:39.076343+00:00,18.97599715,7.35
2020-11-04 21:06:55.115528+00:00,19.61150649,7.37
2020-11-04 21:37:11.155867+00:00,19.85615918,7.35
2020-11-04 22:07:27.199045+00:00,20.48669177,7.35
2020-11-04 22:37:43.266888+00:00,20.97599715,7.34
2020-11-04 23:07:59.294934+00:00,20.61150649,7.39
2020-11-04 23:38:15.335885+00:00,20.85615918,7.35
2020-11-05 00:08:31.402652+00:00,20.73466229,7.35
2020-11-05 00:38:47.434713+00:00,20.85615918,7.39
2020-11-05 01:09:03.502076+00:00,21.61150649,7.35
2020-11-05 01:39:19.534750+00:00,21.97599715,7.34
2020-11-05 02:09:35.598305+00:00,21.85615918,7.35
2020-11-05 02:39:51.614933+00:00,21.85615918,7.35
2020-11-05 03:10:07.674715+00:00,19.73466229,7.35
2020-11-05 03:40:23.714884+00:00,19.85615918,7.35
2020-11-05 04:10:39.754202+00:00,19.48669177,7.35
2020-11-05 04:40:55.802714+00:00,19.61150649,7.35
2020-11-05 05:11:11.854706+00:00,20.85615918,7.35
2020-11-05 05:41:27.899779+00:00,18.61150649,7.35
2020-11-05 06:11:43.934310+00:00,19.85615918,7.35
2020-11-05 06:41:59.982020+00:00,19.61150649,7.35
2020-11-05 07:12:16.033798+00:00,20.97599715,7.35
2020-11-05 07:42:32.062979+00:00,19.61150649,7.36
2020-11-05 08:12:48.104690+00:00,19.97599715,7.33
2020-11-05 08:43:04.164349+00:00,19.73466229,7.35
2020-11-05 09:13:20.206175+00:00,20.97599715,7.34
2020-11-05 09:57:45.854970+00:00,20.85615918,7.35
2020-11-05 10:28:01.896817+00:00,21.61150649,7.35
2020-11-05 10:58:17.944915+00:00,21.85615918,7.36
2020-11-05 11:28:33.992949+00:00,23.85615918,7.35
2020-11-05 11:58:50.055242+00:00,24.85615918,7.35
2020-11-05 12:29:06.092575+00:00,25.73466229,7.35
2020-11-05 12:59:22.139602+00:00,25.48669177,7.36
2020-11-05 13:29:38.182983+00:00,27.73466229,7.35
2020-11-05 13:59:54.210758+00:00,27.61150649,7.35
2020-11-05 14:30:10.280748+00:00,28.73466229,7.36
2020-11-05 15:00:26.337964+00:00,28.73466229,7.35
2020-11-05 15:30:42.372359+00:00,28.73466229,7.35
2020-11-05 16:00:58.400089+00:00,28.61150649,7.35
2020-11-05 16:31:14.447632+00:00,28.85615918,7.35
2020-11-05 17:01:30.496073+00:00,28.61150649,7.35
2020-11-05 17:31:46.574734+00:00,28.73466229,7.35
2020-11-05 18:02:02.602757+00:00,27.61150649,7.35
2020-11-05 18:32:18.651089+00:00,27.85615918,7.36
2020-11-05 19:02:34.702195+00:00,27.61150649,7.36
2020-11-05 19:32:50.759787+00:00,27.85615918,7.35
2020-11-05 20:03:06.798880+00:00,27.85615918,7.35
2020-11-05 20:33:22.838949+00:00,30.85615918,7.35
2020-11-05 21:03:38.902611+00:00,37.73466229,7.36
